FQDN,IP Address,Ping (ms),Release,Operator Stake,Total Delegated Stake,Delegates Count,Status,Prescribed Epoch Count,Observed Epoch Count,Total Epoch Count,Passed Epoch Count,Failed Epoch Count,Failed Consecutive Epochs,Passed Consecutive Epochs,ISP,Geo Location,Error Message,Process Id,ANS-104 Unbundle Filter,ANS-104 Index Filter,Supported Manifest Versions
ivandivandelen.site,185.188.249.150,528.0514170000097,32,62500000000,26159784305,0,joined,17,17,57,55,2,0,20,N/A,"Düsseldorf, DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
lorentocrypto.online,144.91.112.46,1603.483917000005,32,62500000000,18516867957,0,joined,12,11,57,55,2,1,0,N/A,"Nuremberg, DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
arweaveblock.com,45.153.35.149,800.2828749999899,31,62500000000,36358550425,0,joined,14,14,57,55,2,0,17,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
yakupgs.store,77.237.233.11,537.0621660000033,29,62500000000,34915408566,0,joined,3,0,57,51,6,0,36,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
ykpbb.lol,77.237.246.88,542.1157919999969,29,62500000000,36539289849,0,joined,6,0,57,51,6,0,36,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
zerolighta.online,23.88.62.244,561.822291000004,32,62500000000,15908595340,0,joined,12,11,57,56,1,0,20,N/A,"Gunzenhausen, DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
ardrive.net,162.55.159.5,663.435249999995,33-pre,57606470740,128070469346,0,joined,12,12,54,54,0,0,54,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
arweave.auduge.com,86.73.8.57,487.52908300000126,31,56689250000,20175104562,0,joined,9,2,57,50,7,0,13,N/A,"Puteaux, FR",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
boramirs.store,188.245.39.133,1550.144667000015,32,52500000000,32091941884,0,joined,12,11,57,55,2,0,20,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
arfrost.xyz,104.21.32.1,524.753916000016,27,50828004318,171829967743,0,joined,16,13,57,48,9,0,46,N/A,", ",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
araoai.com,38.165.20.106,363.89495899999747,29,50000000000,23801628174,0,joined,7,4,57,55,2,0,20,N/A,"San Jose, US",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
